MSOA Code,MSOA Name,LA Code,All Ages,Males,Females,0 - 19,20 - 39,40 - 59,60 +
E02004424,Basildon 001,E07000066,7038,3387,3651,1655,1308,2118,1957
E02004425,Basildon 002,E07000066,7292,3548,3744,1679,1684,2083,1846
E02004426,Basildon 003,E07000066,8087,3992,4095,1837,1778,2368,2104
E02004427,Basildon 004,E07000066,7923,3769,4154,1805,1398,2207,2513
E02004428,Basildon 005,E07000066,6924,3306,3618,1551,1562,1879,1932
E02004429,Basildon 006,E07000066,7312,3606,3706,1392,1378,1972,2570
E02004430,Basildon 007,E07000066,8308,4134,4174,2009,1886,2412,2001
E02004431,Basildon 008,E07000066,9851,4814,5037,2451,2860,2705,1835
E02004432,Basildon 009,E07000066,7016,3458,3558,1668,1410,1966,1972
E02004433,Basildon 010,E07000066,8987,4335,4652,2229,2391,2391,1976
E02004434,Basildon 011,E07000066,8711,4194,4517,2156,2359,2288,1908
E02004435,Basildon 012,E07000066,9464,4478,4986,2746,2653,2356,1709
E02004436,Basildon 013,E07000066,8318,4029,4289,2561,2137,1986,1634
E02004437,Basildon 014,E07000066,9334,4461,4873,2324,2532,2349,2129
E02004438,Basildon 015,E07000066,9782,4618,5164,2724,2823,2272,1963
E02004439,Basildon 016,E07000066,10121,4781,5340,3347,2996,2487,1291
E02004440,Basildon 017,E07000066,8547,4175,4372,2304,2330,2299,1614
E02004441,Basildon 018,E07000066,7685,3755,3930,1899,1887,1912,1987
E02004442,Basildon 019,E07000066,8806,4329,4477,2824,2312,2168,1502
E02004443,Basildon 020,E07000066,10241,5045,5196,2460,3234,2539,2008
E02004444,Basildon 021,E07000066,9249,4538,4711,2135,2307,2638,2169
E02004445,Basildon 022,E07000066,8562,4286,4276,2165,2404,2183,1810
E02004446,Braintree 001,E07000067,6861,3401,3460,1450,1152,2104,2155
E02004447,Braintree 002,E07000067,5858,2943,2915,1026,864,1812,2156
E02004448,Braintree 003,E07000067,7340,3566,3774,1660,1492,2033,2155
E02004449,Braintree 004,E07000067,8521,4081,4440,2079,1908,2379,2155
E02004450,Braintree 005,E07000067,6423,3237,3186,1216,1060,1957,2190
E02004451,Braintree 006,E07000067,8919,4322,4597,2009,1566,2497,2847
E02004452,Braintree 007,E07000067,9163,4471,4692,2054,1852,2476,2781
E02004453,Braintree 008,E07000067,7345,3558,3787,1929,1877,1837,1702
E02004454,Braintree 009,E07000067,9522,4855,4667,1995,2928,2423,2176
E02004455,Braintree 010,E07000067,7895,3889,4006,1907,1629,2357,2002
E02004456,Braintree 011,E07000067,9957,4918,5039,2544,2675,2691,2047
E02004457,Braintree 012,E07000067,10512,5126,5386,2660,2620,2830,2402
E02004458,Braintree 013,E07000067,9645,4704,4941,2512,1968,2846,2319
E02004459,Braintree 014,E07000067,10519,5139,5380,2372,1888,3067,3192
E02004460,Braintree 015,E07000067,9215,4510,4705,2253,2376,2370,2216
E02004461,Braintree 016,E07000067,5883,2822,3061,1674,1527,1584,1098
E02004462,Braintree 017,E07000067,11390,5544,5846,2502,3386,2875,2627
E02004463,Braintree 018,E07000067,8123,4005,4118,1818,1612,2246,2447
E02004464,Brentwood 001,E07000068,10092,4868,5224,2189,1792,2876,3235
E02004465,Brentwood 002,E07000068,6264,2951,3313,1298,1144,1837,1985
E02004466,Brentwood 003,E07000068,8209,3961,4248,2022,1874,2316,1997
E02004467,Brentwood 004,E07000068,8397,4172,4225,2266,2097,2210,1824
E02004468,Brentwood 005,E07000068,10465,5155,5310,2426,1790,3191,3058
E02004469,Brentwood 006,E07000068,6993,3348,3645,1677,1363,1996,1957
E02004470,Brentwood 007,E07000068,12133,5968,6165,2629,4160,3107,2237
E02004471,Brentwood 008,E07000068,8537,4064,4473,1990,2133,2333,2081
E02004472,Brentwood 009,E07000068,6152,3023,3129,1226,1306,1858,1762
E02004473,Castle Point 001,E07000069,7912,3822,4090,1832,1741,2038,2301
E02004474,Castle Point 002,E07000069,7745,3802,3943,1640,1590,1988,2527
E02004475,Castle Point 003,E07000069,6793,3318,3475,1477,1429,1871,2016
E02004476,Castle Point 004,E07000069,8156,3976,4180,1714,1673,2253,2516
E02004477,Castle Point 005,E07000069,6064,2879,3185,1063,1101,1514,2386
E02004478,Castle Point 006,E07000069,6583,3175,3408,1358,1439,1796,1990
E02004479,Castle Point 007,E07000069,8397,4217,4180,1715,1858,2271,2553
E02004480,Castle Point 008,E07000069,7200,3618,3582,1857,1731,1808,1804
E02004481,Castle Point 009,E07000069,6820,3262,3558,1185,1236,1461,2938
E02004482,Castle Point 010,E07000069,8507,4056,4451,2284,2066,2136,2021
E02004483,Castle Point 011,E07000069,8422,4096,4326,1577,1777,2068,3000
E02004484,Castle Point 012,E07000069,7925,3813,4112,1521,1642,2051,2711
E02004485,Chelmsford 001,E07000070,8829,4273,4556,2397,1881,2497,2054
E02004486,Chelmsford 002,E07000070,8793,4277,4516,2035,1917,2410,2431
E02004487,Chelmsford 003,E07000070,7686,3788,3898,2084,1693,2016,1893
E02004488,Chelmsford 004,E07000070,9417,4643,4774,2327,2238,2540,2312
E02004489,Chelmsford 005,E07000070,9343,4632,4711,2631,1913,2837,1962
E02004490,Chelmsford 006,E07000070,8231,3945,4286,2272,2258,2127,1574
E02004491,Chelmsford 007,E07000070,7795,3945,3850,1861,1835,2239,1860
E02004492,Chelmsford 008,E07000070,9329,4739,4590,2235,2614,2821,1659
E02004493,Chelmsford 009,E07000070,10491,5321,5170,2443,3367,2808,1873
E02004494,Chelmsford 010,E07000070,13306,6815,6491,2244,6284,2934,1844
E02004495,Chelmsford 011,E07000070,8455,4061,4394,1712,1603,2313,2827
E02004496,Chelmsford 012,E07000070,8089,4028,4061,2078,1820,2315,1876
E02004497,Chelmsford 013,E07000070,7825,3832,3993,1597,1415,2180,2633
E02004498,Chelmsford 014,E07000070,9859,4750,5109,2310,2461,2784,2304
E02004499,Chelmsford 015,E07000070,6751,3301,3450,1550,1513,1909,1779
E02004500,Chelmsford 016,E07000070,9132,4466,4666,2054,1541,2610,2927
E02004501,Chelmsford 017,E07000070,7027,3444,3583,1597,1368,1871,2191
E02004502,Chelmsford 018,E07000070,7276,3586,3690,1448,1221,2208,2399
E02004503,Chelmsford 019,E07000070,7953,3871,4082,1895,1754,2107,2197
E02004504,Chelmsford 020,E07000070,7887,3942,3945,1759,1865,2213,2050
E02004505,Chelmsford 021,E07000070,6075,3007,3068,1195,1209,1588,2083
E02004506,Colchester 001,E07000071,7141,3486,3655,1535,1267,2115,2224
E02004507,Colchester 002,E07000071,9877,4884,4993,2634,2732,2912,1599
E02004508,Colchester 003,E07000071,6484,3222,3262,1421,1104,1919,2040
E02004509,Colchester 004,E07000071,15662,7707,7955,4245,5381,4135,1901
E02004512,Colchester 007,E07000071,11602,5828,5774,2401,4133,2835,2233
E02004513,Colchester 008,E07000071,13797,7313,6484,2892,7222,2055,1628
E02004514,Colchester 009,E07000071,5675,2750,2925,1391,1035,1660,1589
E02004515,Colchester 010,E07000071,9150,4492,4658,2296,1961,2581,2312
E02004516,Colchester 011,E07000071,14200,7393,6807,3430,6223,3122,1425
E02004517,Colchester 012,E07000071,9147,4469,4678,2114,2131,2368,2534
E02004518,Colchester 013,E07000071,7884,3894,3990,2162,2129,2195,1398
E02004519,Colchester 014,E07000071,7287,3494,3793,1572,1281,1940,2494
E02004520,Colchester 015,E07000071,9616,4866,4750,3007,3222,2143,1244
E02004521,Colchester 016,E07000071,9422,4542,4880,2135,2598,2558,2131
E02004522,Colchester 017,E07000071,12516,6492,6024,2907,5090,2151,2368
E02004523,Colchester 018,E07000071,10426,5174,5252,2830,3034,2608,1954
E02004524,Colchester 019,E07000071,8364,4099,4265,1755,1358,2543,2708
E02004525,Colchester 020,E07000071,7688,3770,3918,1518,1543,1962,2665
E02004526,Colchester 021,E07000071,7221,3526,3695,1185,981,1861,3194
E02006922,Colchester 022,E07000071,14041,6943,7098,2969,3314,3630,4128
E02004527,Epping Forest 001,E07000072,8818,4299,4519,1888,1943,2557,2430
E02004528,Epping Forest 002,E07000072,8463,4185,4278,1632,1638,2449,2744
E02004529,Epping Forest 003,E07000072,6885,3418,3467,1437,1336,2040,2072
E02004530,Epping Forest 004,E07000072,6573,3121,3452,1571,1278,1754,1970
E02004531,Epping Forest 005,E07000072,7048,3349,3699,1721,1428,1999,1900
E02004532,Epping Forest 006,E07000072,6476,3107,3369,1390,1532,1832,1722
E02004533,Epping Forest 007,E07000072,7474,3610,3864,1801,1782,1986,1905
E02004534,Epping Forest 008,E07000072,9065,4401,4664,2357,2420,2503,1785
E02004535,Epping Forest 009,E07000072,5922,2889,3033,1176,1394,1598,1754
E02004536,Epping Forest 010,E07000072,6207,3060,3147,1336,1211,1690,1970
E02004537,Epping Forest 011,E07000072,9283,4430,4853,2316,2737,2521,1709
E02004538,Epping Forest 012,E07000072,9848,4712,5136,2305,2373,2811,2359
E02004539,Epping Forest 013,E07000072,8051,3850,4201,2069,2186,2120,1676
E02004540,Epping Forest 014,E07000072,6031,2935,3096,1432,1395,1751,1453
E02004541,Epping Forest 015,E07000072,11868,5717,6151,2820,2827,3449,2772
E02004542,Epping Forest 016,E07000072,6805,3335,3470,1441,1530,1940,1894
E02004543,Epping Forest 017,E07000072,7358,3470,3888,1872,2014,1863,1609
E02004544,Harlow 001,E07000073,9184,4407,4777,2439,2322,2378,2045
E02004545,Harlow 002,E07000073,7707,3711,3996,2065,2096,1932,1614
E02004546,Harlow 003,E07000073,8076,3997,4079,2107,2223,2084,1662
E02004547,Harlow 004,E07000073,9345,4550,4795,2519,2856,2319,1651
E02004548,Harlow 005,E07000073,8603,4214,4389,2427,2184,2593,1399
E02004549,Harlow 006,E07000073,7810,3761,4049,2163,2035,1974,1638
E02004550,Harlow 007,E07000073,8343,4050,4293,2263,2292,2001,1787
E02004551,Harlow 008,E07000073,7343,3452,3891,1998,1815,1821,1709
E02004552,Harlow 009,E07000073,6288,3057,3231,1437,1533,1630,1688
E02004553,Harlow 010,E07000073,7318,3588,3730,2081,2000,1763,1474
E02004554,Harlow 011,E07000073,7263,3592,3671,2000,1859,1861,1543
E02004555,Maldon 001,E07000074,6497,3180,3317,1301,1130,1840,2226
E02004556,Maldon 002,E07000074,7504,3703,3801,1537,1061,2203,2703
E02004557,Maldon 003,E07000074,8591,4181,4410,1894,1911,2372,2414
E02004558,Maldon 004,E07000074,6919,3302,3617,1331,1460,1838,2290
E02004559,Maldon 005,E07000074,7747,3792,3955,1546,1447,2191,2563
E02004560,Maldon 006,E07000074,9216,4612,4604,1970,1777,2662,2807
E02004561,Maldon 007,E07000074,10706,5279,5427,2070,1967,3133,3536
E02004562,Maldon 008,E07000074,8221,4046,4175,1577,1414,2262,2968
E02004563,Rochford 001,E07000075,6590,3220,3370,1087,1075,1759,2669
E02004564,Rochford 002,E07000075,8278,4125,4153,1653,1659,2304,2662
E02004565,Rochford 003,E07000075,15995,7875,8120,3388,3353,4394,4860
E02004566,Rochford 004,E07000075,6112,2991,3121,1497,1574,1666,1375
E02004567,Rochford 005,E07000075,8244,3982,4262,1727,1549,2388,2580
E02004568,Rochford 006,E07000075,9200,4461,4739,2257,2290,2714,1939
E02004569,Rochford 007,E07000075,8332,4020,4312,1819,2132,2260,2121
E02004570,Rochford 008,E07000075,8881,4237,4644,1904,1783,2438,2756
E02004571,Rochford 009,E07000075,8102,3985,4117,1648,1576,2245,2633
E02004572,Rochford 010,E07000075,7893,3917,3976,1683,1700,2153,2357
E02004573,Tendring 001,E07000076,6542,3248,3294,1635,1582,1620,1705
E02004574,Tendring 002,E07000076,7969,3848,4121,2130,1792,1854,2193
E02004575,Tendring 003,E07000076,11867,5721,6146,2418,2351,3305,3793
E02004576,Tendring 004,E07000076,9041,4431,4610,1802,1551,2329,3359
E02004577,Tendring 005,E07000076,5820,2863,2957,1219,1131,1681,1789
